time,symbol,open,high,low,close,close_time,volume,unkown2,unkown3,unkown4,unkown5,unkown6
2023-02-26 20:43:00,BTCUSDT,1619.2,1619.2,1619.2,1619.2,0.0,1677444239999,0.0,0,0.0,0.0,0
2023-02-26 20:44:00,BTCUSDT,1619.2,1619.2,1619.2,1619.2,0.0,1677444299999,0.0,0,0.0,0.0,0
2023-02-26 20:45:00,BTCUSDT,1619.65,1619.65,1619.65,1619.65,0.0219,1677444359999,35.470335,1,0.0,0.0,0
2023-02-26 20:46:00,BTCUSDT,1619.65,1619.65,1619.65,1619.65,0.0,1677444419999,0.0,0,0.0,0.0,0
2023-02-26 20:47:00,BTCUSDT,1619.65,1619.65,1619.65,1619.65,0.0,1677444479999,0.0,0,0.0,0.0,0
2023-02-26 20:48:00,BTCUSDT,1619.65,1619.65,1619.65,1619.65,0.0,1677444539999,0.0,0,0.0,0.0,0
2023-02-26 20:49:00,BTCUSDT,1619.65,1619.65,1619.65,1619.65,0.0,1677444599999,0.0,0,0.0,0.0,0
2023-02-26 20:50:00,BTCUSDT,1619.65,1619.65,1619.65,1619.65,0.0,1677444659999,0.0,0,0.0,0.0,0
2023-02-26 20:51:00,BTCUSDT,1619.94,1619.94,1619.87,1619.87,0.2535,1677444719999,410.639285,2,0.0,0.0,0
2023-02-26 20:52:00,BTCUSDT,1619.87,1619.87,1619.87,1619.87,0.0,1677444779999,0.0,0,0.0,0.0,0
2023-02-26 20:53:00,BTCUSDT,1619.87,1619.87,1619.87,1619.87,0.0,1677444839999,0.0,0,0.0,0.0,0
2023-02-26 20:54:00,BTCUSDT,1619.87,1619.87,1619.87,1619.87,0.0,1677444899999,0.0,0,0.0,0.0,0
2023-02-26 20:55:00,BTCUSDT,1619.87,1619.87,1619.87,1619.87,0.0,1677444959999,0.0,0,0.0,0.0,0
2023-02-26 20:56:00,BTCUSDT,1619.87,1619.87,1619.87,1619.87,0.0,1677445019999,0.0,0,0.0,0.0,0
2023-02-26 20:57:00,BTCUSDT,1619.2,1619.2,1619.2,1619.2,0.9875,1677445079999,1598.96,10,0.0,0.0,0
2023-02-26 20:58:00,BTCUSDT,1619.2,1619.2,1619.2,1619.2,0.0,1677445139999,0.0,0,0.0,0.0,0
2023-02-26 20:59:00,BTCUSDT,1617.83,1618.25,1616.66,1616.66,1.576,1677445199999,2549.365952,13,0.0,0.0,0
2023-02-26 21:00:00,BTCUSDT,1617.78,1619.53,1617.78,1619.53,0.1731,1677445259999,280.048393,2,0.0061,9.879133,0
2023-02-26 21:01:00,BTCUSDT,1616.58,1616.58,1616.42,1616.42,0.0085,1677445319999,13.74061,2,0.0,0.0,0
2023-02-26 21:02:00,BTCUSDT,1616.51,1616.51,1616.0,1616.0,0.168,1677445379999,271.54998,4,0.0186,30.0576,0
2023-02-26 21:03:00,BTCUSDT,1616.0,1616.0,1616.0,1616.0,0.0,1677445439999,0.0,0,0.0,0.0,0
2023-02-26 21:04:00,BTCUSDT,1616.0,1616.0,1616.0,1616.0,0.0,1677445499999,0.0,0,0.0,0.0,0
2023-02-26 21:05:00,BTCUSDT,1616.0,1616.0,1616.0,1616.0,0.0,1677445559999,0.0,0,0.0,0.0,0
2023-02-26 21:06:00,BTCUSDT,1616.0,1616.0,1616.0,1616.0,2.2307,1677445619999,3604.8112,5,2.2307,3604.8112,0
2023-02-26 21:07:00,BTCUSDT,1616.0,1616.0,1616.0,1616.0,0.0,1677445679999,0.0,0,0.0,0.0,0
2023-02-26 21:08:00,BTCUSDT,1616.0,1616.0,1616.0,1616.0,0.0,1677445739999,0.0,0,0.0,0.0,0
2023-02-26 21:09:00,BTCUSDT,1619.71,1620.63,1619.71,1620.63,0.2102,1677445799999,340.534434,3,0.2102,340.534434,0
2023-02-26 21:10:00,BTCUSDT,1620.63,1620.63,1620.63,1620.63,0.0,1677445859999,0.0,0,0.0,0.0,0
2023-02-26 21:11:00,BTCUSDT,1620.63,1620.63,1620.63,1620.63,0.0,1677445919999,0.0,0,0.0,0.0,0
2023-02-26 21:12:00,BTCUSDT,1622.22,1622.22,1622.22,1622.22,0.0062,1677445979999,10.057764,1,0.0062,10.057764,0
2023-02-26 21:13:00,BTCUSDT,1622.32,1622.32,1622.32,1622.32,0.2906,1677446039999,471.446192,1,0.2906,471.446192,0
2023-02-26 21:14:00,BTCUSDT,1623.45,1623.45,1623.45,1623.45,0.2906,1677446099999,471.77457,5,0.2906,471.77457,0
2023-02-26 21:15:00,BTCUSDT,1623.61,1624.2,1623.61,1624.2,0.1581,1677446159999,256.707963,2,0.1581,256.707963,0
2023-02-26 21:16:00,BTCUSDT,1624.41,1624.41,1624.41,1624.41,0.152,1677446219999,246.91032,2,0.152,246.91032,0
2023-02-26 21:17:00,BTCUSDT,1624.86,1625.31,1622.77,1625.31,0.8557,1677446279999,1390.055618,15,0.5919,961.824634,0
2023-02-26 21:18:00,BTCUSDT,1625.31,1625.31,1625.31,1625.31,0.0,1677446339999,0.0,0,0.0,0.0,0
2023-02-26 21:19:00,BTCUSDT,1625.31,1625.31,1625.31,1625.31,0.0,1677446399999,0.0,0,0.0,0.0,0
2023-02-26 21:20:00,BTCUSDT,1624.39,1624.39,1624.23,1624.23,0.3089,1677446459999,501.754183,2,0.0,0.0,0
2023-02-26 21:21:00,BTCUSDT,1624.23,1624.23,1624.23,1624.23,0.0,1677446519999,0.0,0,0.0,0.0,0
2023-02-26 21:22:00,BTCUSDT,1624.23,1624.23,1624.23,1624.23,0.0,1677446579999,0.0,0,0.0,0.0,0
2023-02-26 21:23:00,BTCUSDT,1623.52,1623.52,1623.52,1623.52,0.0153,1677446639999,24.839856,1,0.0153,24.839856,0
